time,temperature,humidity,measured_mass,initial_mass,equilibrium_mass
1.1666666666666667,22,85,42.104,51.473,2.492
1.1666666666666667,27,40,17.013,47.933,1.011
1.1666666666666667,27,65,29.907,49.792,1.249
1.1666666666666667,27,85,39.394,49.625,2.047
1.25,10,40,29.375,49.467,1.195
1.25,10,65,38.466,48.392,1.444
1.25,10,85,45.749,50.55,1.865
1.25,22,40,24.131,48.731,1.466
1.25,22,65,35.898,50.181,1.54
1.25,22,85,41.219,51.473,2.492
1.25,27,40,15.918,47.933,1.011
1.25,27,65,28.012,49.792,1.249
1.25,27,85,38.544,49.625,2.047
1.3333333333333333,10,40,28.385,49.467,1.195
1.3333333333333333,10,65,38.206,48.392,1.444
1.3333333333333333,10,85,45.789,50.55,1.865
1.3333333333333333,22,40,22.552,48.731,1.466
1.3333333333333333,22,65,34.864,50.181,1.54
1.3333333333333333,22,85,41.303,51.473,2.492
1.3333333333333333,27,40,13.073,47.933,1.011
1.3333333333333333,27,65,27.067,49.792,1.249
1.3333333333333333,27,85,37.716,49.625,2.047
1.4166666666666667,10,40,27.186,49.467,1.195
1.4166666666666667,10,65,37.81,48.392,1.444
1.4166666666666667,10,85,45.728,50.55,1.865
1.4166666666666667,22,40,21.171,48.731,1.466
1.4166666666666667,22,65,35.718,50.181,1.54
1.4166666666666667,22,85,40.885,51.473,2.492
1.4166666666666667,27,40,11.368,47.933,1.011
1.4166666666666667,27,65,26.961,49.792,1.249
1.4166666666666667,27,85,37.251,49.625,2.047
1.5,10,40,25.815,49.467,1.195
1.5,10,65,36.653,48.392,1.444
1.5,10,85,44.503,50.55,1.865
1.5,22,40,19.085,48.731,1.466
1.5,22,65,33.593,50.181,1.54
1.5,22,85,38.804,51.473,2.492
1.5,27,40,9.396,47.933,1.011
1.5,27,65,25.274,49.792,1.249
1.5,27,85,36.403,49.625,2.047
1.5833333333333333,10,40,24.918,49.467,1.195
1.5833333333333333,10,65,35.807,48.392,1.444
1.5833333333333333,10,85,44.683,50.55,1.865
1.5833333333333333,22,40,18.474,48.731,1.466
1.5833333333333333,22,65,31.754,50.181,1.54
1.5833333333333333,22,85,39.215,51.473,2.492
1.5833333333333333,27,40,7.141,47.933,1.011
1.5833333333333333,27,65,24.239,49.792,1.249
1.5833333333333333,27,85,35.76,49.625,2.047
1.6666666666666667,10,40,23.729,49.467,1.195
1.6666666666666667,10,65,35.733,48.392,1.444
1.6666666666666667,10,85,44.153,50.55,1.865
1.6666666666666667,22,40,16.105,48.731,1.466
1.6666666666666667,22,65,31.26,50.181,1.54
1.6666666666666667,22,85,38.946,51.473,2.492
1.6666666666666667,27,40,5.973,47.933,1.011
1.6666666666666667,27,65,22.79,49.792,1.249
1.6666666666666667,27,85,35.192,49.625,2.047
1.75,10,40,22.621,49.467,1.195
1.75,10,65,34.5,48.392,1.444
1.75,10,85,44.319,50.55,1.865
1.75,22,40,14.808,48.731,1.466
1.75,22,65,30.444,50.181,1.54
1.75,22,85,37.942,51.473,2.492
1.75,27,40,3.894,47.933,1.011
1.75,27,65,21.609,49.792,1.249
1.75,27,85,34.769,49.625,2.047
1.8333333333333333,10,40,21.773,49.467,1.195
1.8333333333333333,10,65,34.831,48.392,1.444
1.8333333333333333,10,85,42.962,50.55,1.865
1.8333333333333333,22,40,14.509,48.731,1.466
1.8333333333333333,22,65,29.615,50.181,1.54
1.8333333333333333,22,85,37.508,51.473,2.492
1.8333333333333333,27,40,2.365,47.933,1.011
1.8333333333333333,27,65,20.054,49.792,1.249
1.8333333333333333,27,85,33.785,49.625,2.047
1.9166666666666667,10,40,20.537,49.467,1.195
1.9166666666666667,10,65,33.962,48.392,1.444
1.9166666666666667,10,85,44.551,50.55,1.865
1.9166666666666667,22,40,12.466,48.731,1.466
1.9166666666666667,22,65,27.491,50.181,1.54
1.9166666666666667,22,85,37.266,51.473,2.492
1.9166666666666667,27,40,1.332,47.933,1.011
1.9166666666666667,27,65,18.626,49.792,1.249
1.9166666666666667,27,85,33.291,49.625,2.047
2,10,40,19.525,49.467,1.195
2,10,65,33.21,48.392,1.444
2,10,85,42.751,50.55,1.865
2,22,40,10.592,48.731,1.466
2,22,65,27.387,50.181,1.54
2,22,85,36.743,51.473,2.492
2,27,40,-0.043,47.933,1.011
2,27,65,17.624,49.792,1.249
2,27,85,32.22,49.625,2.047
2.0833333333333335,10,40,18.77,49.467,1.195
2.0833333333333335,10,65,32.952,48.392,1.444
2.0833333333333335,10,85,43.033,50.55,1.865
2.0833333333333335,22,40,8.821,48.731,1.466
2.0833333333333335,22,65,27.281,50.181,1.54
2.0833333333333335,22,85,36.022,51.473,2.492
2.0833333333333335,27,40,-2.173,47.933,1.011
2.0833333333333335,27,65,16.084,49.792,1.249
2.0833333333333335,27,85,31.618,49.625,2.047
2.1666666666666665,10,40,17.478,49.467,1.195
2.1666666666666665,10,65,31.456,48.392,1.444
2.1666666666666665,10,85,43.31,50.55,1.865
2.1666666666666665,22,40,8.079,48.731,1.466
2.1666666666666665,22,65,25.774,50.181,1.54
2.1666666666666665,22,85,35.782,51.473,2.492
2.1666666666666665,27,40,-1.972,47.933,1.011
2.1666666666666665,27,65,14.431,49.792,1.249
2.1666666666666665,27,85,31.165,49.625,2.047
2.25,10,40,16.497,49.467,1.195
2.25,10,65,31.634,48.392,1.444
2.25,10,85,41.906,50.55,1.865
2.25,22,40,7.545,48.731,1.466
2.25,22,65,25.289,50.181,1.54
2.25,22,85,35.032,51.473,2.492
2.25,27,40,-2.471,47.933,1.011
2.25,27,65,11.877,49.792,1.249
2.25,27,85,30.653,49.625,2.047
2.3333333333333335,10,40,15.578,49.467,1.195
2.3333333333333335,10,65,31.211,48.392,1.444
2.3333333333333335,10,85,42.27,50.55,1.865
2.3333333333333335,22,40,5.269,48.731,1.466
2.3333333333333335,22,65,23.901,50.181,1.54
2.3333333333333335,22,85,34.205,51.473,2.492
2.3333333333333335,27,40,-2.097,47.933,1.011
2.3333333333333335,27,65,11.024,49.792,1.249
2.3333333333333335,27,85,30.201,49.625,2.047
2.4166666666666665,10,40,14.296,49.467,1.195
2.4166666666666665,10,65,30.895,48.392,1.444
2.4166666666666665,10,85,42.024,50.55,1.865
2.4166666666666665,22,40,4.662,48.731,1.466
2.4166666666666665,22,65,23.467,50.181,1.54
2.4166666666666665,22,85,34.226,51.473,2.492
2.4166666666666665,27,40,-1.937,47.933,1.011
2.4166666666666665,27,65,10.551,49.792,1.249
2.4166666666666665,27,85,29.173,49.625,2.047
2.5,10,40,13.447,49.467,1.195
2.5,10,65,30.357,48.392,1.444
2.5,10,85,39.158,50.55,1.865
2.5,22,40,2.504,48.731,1.466
2.5,22,65,21.952,50.181,1.54
2.5,22,85,33.522,51.473,2.492
2.5,27,65,9.984,49.792,1.249
2.5,27,85,28.981,49.625,2.047
2.5833333333333335,10,40,12.634,49.467,1.195
2.5833333333333335,10,65,29.44,48.392,1.444
2.5833333333333335,10,85,40.573,50.55,1.865
2.5833333333333335,22,40,1.594,48.731,1.466
2.5833333333333335,22,65,21.385,50.181,1.54
2.5833333333333335,22,85,33.454,51.473,2.492
2.5833333333333335,27,65,9.551,49.792,1.249
2.5833333333333335,27,85,27.943,49.625,2.047
2.6666666666666665,10,40,11.713,49.467,1.195
2.6666666666666665,10,65,28.491,48.392,1.444
2.6666666666666665,10,85,41.542,50.55,1.865
2.6666666666666665,22,40,0.937,48.731,1.466
2.6666666666666665,22,65,20.515,50.181,1.54
2.6666666666666665,22,85,32.489,51.473,2.492
2.6666666666666665,27,65,8.923,49.792,1.249
2.6666666666666665,27,85,27.205,49.625,2.047
2.75,10,40,10.66,49.467,1.195
2.75,10,65,28.095,48.392,1.444
2.75,10,85,41.633,50.55,1.865
2.75,22,40,0.38,48.731,1.466
2.75,22,65,19.46,50.181,1.54
2.75,22,85,30.957,51.473,2.492
2.75,27,65,6.739,49.792,1.249
2.75,27,85,26.882,49.625,2.047
2.8333333333333335,10,40,9.716,49.467,1.195
2.8333333333333335,10,65,27.462,48.392,1.444
2.8333333333333335,10,85,40.554,50.55,1.865
2.8333333333333335,22,40,0.359,48.731,1.466
2.8333333333333335,22,65,18.398,50.181,1.54
2.8333333333333335,22,85,30.852,51.473,2.492
2.8333333333333335,27,65,5.816,49.792,1.249
2.8333333333333335,27,85,25.869,49.625,2.047
2.9166666666666665,10,40,8.809,49.467,1.195
2.9166666666666665,10,65,27.808,48.392,1.444
2.9166666666666665,10,85,40.316,50.55,1.865
2.9166666666666665,22,40,1.52,48.731,1.466
2.9166666666666665,22,65,17.594,50.181,1.54
2.9166666666666665,22,85,30.982,51.473,2.492
2.9166666666666665,27,65,5.555,49.792,1.249
2.9166666666666665,27,85,25.472,49.625,2.047
3,10,40,7.934,49.467,1.195
3,10,65,26.889,48.392,1.444
3,10,85,40.453,50.55,1.865
3,22,40,0.086,48.731,1.466
3,22,65,16.927,50.181,1.54
3,22,85,30.705,51.473,2.492
3,27,65,3.713,49.792,1.249
3,27,85,24.094,49.625,2.047
3.0833333333333335,10,40,7.09,49.467,1.195
3.0833333333333335,10,65,26.32,48.392,1.444
3.0833333333333335,10,85,39.648,50.55,1.865
3.0833333333333335,22,40,0.311,48.731,1.466
3.0833333333333335,22,65,14.744,50.181,1.54
3.0833333333333335,22,85,29.821,51.473,2.492
3.0833333333333335,27,65,3.237,49.792,1.249
3.0833333333333335,27,85,24.044,49.625,2.047
3.1666666666666665,10,40,5.97,49.467,1.195
3.1666666666666665,10,65,25.653,48.392,1.444
3.1666666666666665,10,85,39.634,50.55,1.865
3.1666666666666665,22,40,0.384,48.731,1.466
3.1666666666666665,22,65,14.56,50.181,1.54
3.1666666666666665,22,85,29.767,51.473,2.492
3.1666666666666665,27,65,1.972,49.792,1.249
3.1666666666666665,27,85,23.307,49.625,2.047
3.25,10,40,5.432,49.467,1.195
3.25,10,65,25.303,48.392,1.444
3.25,10,85,39.293,50.55,1.865
3.25,22,40,1.466,48.731,1.466
3.25,22,65,13.861,50.181,1.54
3.25,22,85,28.724,51.473,2.492
3.25,27,65,1.404,49.792,1.249
3.25,27,85,23.235,49.625,2.047
3.3333333333333335,10,40,4.459,49.467,1.195
3.3333333333333335,10,65,24.796,48.392,1.444
3.3333333333333335,10,85,38.935,50.55,1.865
3.3333333333333335,22,40,0.545,48.731,1.466
3.3333333333333335,22,65,13.383,50.181,1.54
3.3333333333333335,22,85,28.462,51.473,2.492
3.3333333333333335,27,65,1.622,49.792,1.249
3.3333333333333335,27,85,22.36,49.625,2.047
3.4166666666666665,10,40,3.678,49.467,1.195
3.4166666666666665,10,65,24.468,48.392,1.444
3.4166666666666665,10,85,38.349,50.55,1.865
3.4166666666666665,22,40,0.052,48.731,1.466
3.4166666666666665,22,65,12.44,50.181,1.54
3.4166666666666665,22,85,28.257,51.473,2.492
3.4166666666666665,27,65,1.046,49.792,1.249
3.4166666666666665,27,85,21.964,49.625,2.047
3.5,10,40,3.214,49.467,1.195
3.5,10,65,24.857,48.392,1.444
3.5,10,85,38.237,50.55,1.865
3.5,22,65,11.587,50.181,1.54
3.5,22,85,27.55,51.473,2.492
3.5,27,65,0.525,49.792,1.249
3.5,27,85,20.874,49.625,2.047
3.5833333333333335,10,40,2.47,49.467,1.195
3.5833333333333335,10,65,24.37,48.392,1.444
3.5833333333333335,10,85,36.906,50.55,1.865
3.5833333333333335,22,65,10.525,50.181,1.54
3.5833333333333335,22,85,27.06,51.473,2.492
